Table S3 Heterozygosity resources						
Catalog	Common name	Taxonomy	Family	Order	Conservation status	Heterozygosity 
mammals	Brown-throated Sloth	Bradypus variegatus	Pilosa	Bradypodidae	Least Concern	0.0116010
mammals	Black-footed Cat	Felis nigripes	Carnivora	Felidae	Vulnerable	0.0007560
mammals	Northern Elephant Seal	Mirounga angustirostris	Carnivora	Phocidae	Least Concern	0.0004450
mammals	Northern White Rhino	Ceratotherium simum cottoni	Perissodactyla	Rhinocerotidae	Critically Endangered	0.0011900
mammals	Hirola	Beatragus hunteri	Artiodactyla	Bovidae	Critically Endangered	0.0004500
mammals	Nilgiri Tahr	Hemitragus hylocrius	Artiodactyla	Bovidae	Endangered	0.0003880
mammals	Russian Saiga	Saiga tatarica tatarica	Artiodactyla	Bovidae	Critically Endangered	0.0025300
mammals	Indus River Dolphin	Platanista gangetica minor	Artiodactyla	Platanistidae	Endangered	0.0005420
mammals	La Plata Dolphin	Pontoporia blainvillei	Artiodactyla	Pontoporiidae	Vulnerable	0.0020700
mammals	Chacoan peccary	Catagonus wagneri	Artiodactyla	Tayassuidae	Endangered	0.0040700
mammals	Hispid Cotton Rat	Sigmodon hispidus	Rodentia	Cricetidae	Least Concern	0.0004090
mammals	Edible Dormouse	Glis glis	Rodentia	Gliridae	Least Concern	0.0007980
mammals	Hazel dormouse	Muscardinus avellanarius	Rodentia	Gliridae	Least Concern	0.0003960
mammals	Stephen's Kangaroo Rat	Dipodomys stephensi	Rodentia	Heteromyidae	Vulnerable	0.0020100
mammals	Cairo Spiny Mouse	Acomys cahirinus	Rodentia	Muridae	Least Concern	0.0002010
mammals	Geoffroy's Spider Monkey	Ateles geoffroyi	Primates	Atelidae	Endangered	0.0038100
mammals	Coquerel's Giant Mouse Lemur	Mirza coquereli	Primates	Cheirogaleidae	Endangered	0.0037000
mammals	Fat-tailed Dwarf Lemur	Cheirogaleus medius	Primates	Cheirogaleidae	Least Concern	0.0024000
mammals	Greater Horseshoe Bat	Rhinolophus ferrumequinum	Chiroptera	Rhinolophidae	Least Concern	0.0251000
mammals	Egyptian Slit-Faced Bat	Nycticeius humeralis	Chiroptera	Vespertilionidae	Least Concern	0.0240000
mammals	Hispaniolan Solenodon	Solenodon paradoxus	Eulipotyphla	Solenodontidae	Endangered	0.0009820
mammals	Indochinese Shrew	Crocidura indochinensis	Eulipotyphla	Soricidae	Least Concern	0.0049300
mammals	Eastern mole	Scalopus aquaticus	Eulipotyphla	Talpidae	Least Concern	0.0007860
mammals	Gracile Shrew-like Mole	Uropsilus gracilis	Eulipotyphla	Talpidae	Least Concern	0.0020000
mammals	Arctic Fox	Vulpes lagopus	Carnivora	Canidae	Least Concern	0.0016000
mammals	domestic dog (village dog)	Canis lupus familiaris	Carnivora	Canidae	Least Concern	0.0020600
mammals	Fossa	Cryptoprocta ferox	Carnivora	Eupleridae	Vulnerable	0.0015200
mammals	Jaguar	Panthera onca	Carnivora	Felidae	Near Threatened	0.0008650
mammals	Dwarf Mongoose	Helogale parvula	Carnivora	Herpestidae	Least Concern	0.0011600
mammals	Meerkat	Suricata suricatta	Carnivora	Herpestidae	Least Concern	0.0036000
mammals	South African Banded Mongoose	Mungos mungo	Carnivora	Herpestidae	Least Concern	0.0025200
mammals	Striped Hyena	Hyaena hyaena	Carnivora	Hyaenidae	Near Threatened	0.0010700
mammals	Western Spotted Skunk	Spilogale gracilis	Carnivora	Mephitidae	Least Concern	0.0014400
mammals	Giant Otter	Pteronura brasiliensis	Carnivora	Mustelidae	Endangered	0.0011400
