sample	library	run	pair	layout	fqpath
P10	P10A	CL100035804_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P10A_m0_1.fq.gz
P10	P10A	CL100035804_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P10A_m0_2.fq.gz
P11	P11A	CL100035804_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P11A_m0_1.fq.gz
P11	P11A	CL100035804_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P11A_m0_2.fq.gz
P2	P2A	CL100035804_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P2A_m0_1.fq.gz
P2	P2A	CL100035804_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P2A_m0_2.fq.gz
P3	P3A	CL100035804_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P3A_m0_1.fq.gz
P3	P3A	CL100035804_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P3A_m0_2.fq.gz
P4	P4A	CL100035804_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P4A_m0_1.fq.gz
P4	P4A	CL100035804_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P4A_m0_2.fq.gz
P6	P6A	CL100035804_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P6A_m0_1.fq.gz
P6	P6A	CL100035804_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P6A_m0_2.fq.gz
P8	P8A	CL100035804_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P8A_m0_1.fq.gz
P8	P8A	CL100035804_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P8A_m0_2.fq.gz
P9	P9A	CL100035804_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P9A_m0_1.fq.gz
P9	P9A	CL100035804_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L01_P9A_m0_2.fq.gz
P10	P10A	CL100035804_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P10A_m0_1.fq.gz
P10	P10A	CL100035804_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P10A_m0_2.fq.gz
P11	P11A	CL100035804_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P11A_m0_1.fq.gz
P11	P11A	CL100035804_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P11A_m0_2.fq.gz
P2	P2A	CL100035804_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P2A_m0_1.fq.gz
P2	P2A	CL100035804_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P2A_m0_2.fq.gz
P3	P3A	CL100035804_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P3A_m0_1.fq.gz
P3	P3A	CL100035804_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P3A_m0_2.fq.gz
P4	P4A	CL100035804_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P4A_m0_1.fq.gz
P4	P4A	CL100035804_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P4A_m0_2.fq.gz
P6	P6A	CL100035804_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P6A_m0_1.fq.gz
P6	P6A	CL100035804_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P6A_m0_2.fq.gz
P8	P8A	CL100035804_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P8A_m0_1.fq.gz
P8	P8A	CL100035804_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P8A_m0_2.fq.gz
P9	P9A	CL100035804_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P9A_m0_1.fq.gz
P9	P9A	CL100035804_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035804_L02_P9A_m0_2.fq.gz
P12	P12A	CL100035805_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L01_P12A_m0_1.fq.gz
P12	P12A	CL100035805_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L01_P12A_m0_2.fq.gz
P13	P13A	CL100035805_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L01_P13A_m0_1.fq.gz
P13	P13A	CL100035805_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L01_P13A_m0_2.fq.gz
P14	P14A	CL100035805_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L01_P14A_m0_1.fq.gz
P14	P14A	CL100035805_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L01_P14A_m0_2.fq.gz
P12	P12A	CL100035805_L02	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100035805_L02_P12A_m0_1.fq.gz
